Week,Data science,Machine learning
9/22/19,100,86
9/29/19,98,84
10/6/19,93,88
10/13/19,89,86
10/20/19,94,87
10/27/19,91,83
11/3/19,97,88
11/10/19,88,87
11/17/19,95,84
11/24/19,64,65
12/1/19,88,85
12/8/19,78,85
12/15/19,73,72
12/22/19,61,52
12/29/19,69,55
1/5/20,88,78
1/12/20,100,84
1/19/20,91,82
1/26/20,89,85
2/2/20,90,78
2/9/20,94,84
2/16/20,98,86
2/23/20,95,88
3/1/20,90,80
3/8/20,76,72
3/15/20,66,62
3/22/20,69,62
3/29/20,72,68
4/5/20,86,72
4/12/20,77,75
4/19/20,80,75
4/26/20,80,75
5/3/20,77,81
5/10/20,80,75
5/17/20,81,77
5/24/20,80,71
5/31/20,74,74
6/7/20,83,70
6/14/20,88,75
6/21/20,80,76
6/28/20,77,67
7/5/20,89,75
7/12/20,84,77
7/19/20,85,76
7/26/20,84,70
8/2/20,79,76
8/9/20,90,74
8/16/20,85,78
8/23/20,86,71
8/30/20,82,77
9/6/20,83,73
9/13/20,90,72